"","state","pollster","n","population","mode","start.date","end.date","biden","trump","undecided","other","begin","end","t","two_party_sum","polltype","n_respondents","n_biden","p_biden","n_trump","p_trump"
"22","--","Change Research",1258,"Likely Voters","Other","2020-07-10","2020-07-12",51,41,0,NA,2020-07-10,2020-07-12,2020-07-11,92,"Likely Voters",1258,642,0.554347826086957,516,0.445652173913043
"23","FL","Gravis Marketing",529,"Likely Voters","Other","2020-07-13","2020-07-13",53,43,0,NA,2020-07-13,2020-07-13,2020-07-13,96,"Likely Voters",529,280,0.552083333333333,227,0.447916666666667
"24","MT","Civiqs",873,"Registered Voters","Other","2020-07-11","2020-07-13",45,49,1,5,2020-07-11,2020-07-13,2020-07-12,94,"Registered Voters",873,393,0.478723404255319,428,0.521276595744681
"25","--","RMG Research",1200,"Registered Voters","Other","2020-07-09","2020-07-11",46,39,0,NA,2020-07-09,2020-07-11,2020-07-10,85,"Registered Voters",1200,552,0.541176470588235,468,0.458823529411765
"26","MT","Public Policy Polling",1224,"Registered Voters","Other","2020-07-09","2020-07-10",42,51,0,NA,2020-07-09,2020-07-10,2020-07-09,93,"Registered Voters",1224,514,0.451612903225806,624,0.548387096774194
"27","MO","YouGov",900,"Likely Voters","Other","2020-06-23","2020-07-01",43,50,4,4,2020-06-23,2020-07-01,2020-06-27,93,"Likely Voters",900,387,0.462365591397849,450,0.537634408602151
"28","TX","YouGov",1185,"Likely Voters","Other","2020-07-07","2020-07-10",45,46,0,NA,2020-07-07,2020-07-10,2020-07-08,91,"Likely Voters",1185,533,0.494505494505495,545,0.505494505494505
"29","FL","YouGov",1206,"Likely Voters","Other","2020-07-07","2020-07-10",48,42,0,NA,2020-07-07,2020-07-10,2020-07-08,90,"Likely Voters",1206,579,0.533333333333333,507,0.466666666666667
"30","AZ","YouGov",1087,"Likely Voters","Other","2020-07-07","2020-07-10",46,46,0,NA,2020-07-07,2020-07-10,2020-07-08,92,"Likely Voters",1087,500,0.5,500,0.5
"31","TX","University of Texas at Tyler",1677,"Likely Voters","Live phone component","2020-06-29","2020-07-07",48,43,0,NA,2020-06-29,2020-07-07,2020-07-03,91,"Likely Voters",1677,805,0.527472527472527,721,0.472527472527473
"32","--","Morning Consult",33549,"Registered Voters","Other","2020-06-29","2020-07-05",48,39,0,NA,2020-06-29,2020-07-05,2020-07-02,87,"Registered Voters",33549,16104,0.551724137931034,13084,0.448275862068966
"33","NC","GBAO",500,"Likely Voters","Live phone component","2020-04-13","2020-04-16",48,46,0,NA,2020-04-13,2020-04-16,2020-04-14,94,"Likely Voters",500,240,0.51063829787234,230,0.48936170212766
"34","IA","GBAO",500,"Likely Voters","Live phone component","2020-04-13","2020-04-16",45,48,0,NA,2020-04-13,2020-04-16,2020-04-14,93,"Likely Voters",500,225,0.483870967741935,240,0.516129032258065
"35","AZ","GBAO",500,"Likely Voters","Live phone component","2020-04-13","2020-04-16",47,46,0,NA,2020-04-13,2020-04-16,2020-04-14,93,"Likely Voters",500,235,0.505376344086022,230,0.494623655913978
"36","--","Data for Progress",673,"Registered Voters","Other","2020-07-07","2020-07-07",52,42,0,NA,2020-07-07,2020-07-07,2020-07-07,94,"Registered Voters",673,350,0.553191489361702,283,0.446808510638298
"37","--","Data for Progress",745,"Adults","Other","2020-07-07","2020-07-07",52,42,0,NA,2020-07-07,2020-07-07,2020-07-07,94,"Adults",745,387,0.553191489361702,313,0.446808510638298
"38","NC","Public Policy Polling",818,"Registered Voters","Other","2020-07-07","2020-07-08",50,46,0,NA,2020-07-07,2020-07-08,2020-07-07,96,"Registered Voters",818,409,0.520833333333333,376,0.479166666666667
"39","AK","Public Policy Polling",1081,"Registered Voters","Other","2020-07-07","2020-07-08",45,48,0,NA,2020-07-07,2020-07-08,2020-07-07,93,"Registered Voters",1081,486,0.483870967741935,519,0.516129032258065
"40","--","Pulse Opinion Research",1500,"Likely Voters","Other","2020-07-05","2020-07-07",50,40,0,NA,2020-07-05,2020-07-07,2020-07-06,90,"Likely Voters",1500,750,0.555555555555556,600,0.444444444444444
"41","--","Ipsos",952,"Registered Voters","Other","2020-07-06","2020-07-07",43,37,0,NA,2020-07-06,2020-07-07,2020-07-06,80,"Registered Voters",952,409,0.5375,352,0.4625
"42","--","Research Co",1049,"Likely Voters","Other","2020-07-01","2020-07-02",49,40,8,3,2020-07-01,2020-07-02,2020-07-01,89,"Likely Voters",1049,514,0.550561797752809,420,0.449438202247191
"43","--","Opinium",500,"Registered Voters","Other","2020-06-19","2020-06-25",52,40,0,NA,2020-06-19,2020-06-25,2020-06-22,92,"Registered Voters",500,260,0.565217391304348,200,0.434782608695652
"44","--","PureSpectrum",22501,"Likely Voters","Other","2020-06-12","2020-06-28",47,37,0,NA,2020-06-12,2020-06-28,2020-06-20,84,"Likely Voters",22501,10575,0.55952380952381,8325,0.44047619047619
"45","--","PureSpectrum",18132,"Likely Voters","Other","2020-05-16","2020-05-31",46,37,0,NA,2020-05-16,2020-05-31,2020-05-23,83,"Likely Voters",18132,8341,0.55421686746988,6709,0.44578313253012
"46","--","PureSpectrum",20333,"Likely Voters","Other","2020-05-02","2020-05-15",43,39,0,NA,2020-05-02,2020-05-15,2020-05-08,82,"Likely Voters",20333,8743,0.524390243902439,7930,0.475609756097561
"47","--","PureSpectrum",19505,"Likely Voters","Other","2020-04-16","2020-04-30",44,40,0,NA,2020-04-16,2020-04-30,2020-04-23,84,"Likely Voters",19505,8582,0.523809523809524,7802,0.476190476190476
"48","--","YouGov",1163,"Registered Voters","Other","2020-07-05","2020-07-07",49,40,4,4,2020-07-05,2020-07-07,2020-07-06,89,"Registered Voters",1163,570,0.550561797752809,465,0.449438202247191
"49","--","Public Policy Polling",996,"Registered Voters","Other","2020-06-25","2020-06-26",53,42,0,NA,2020-06-25,2020-06-26,2020-06-25,95,"Registered Voters",996,528,0.557894736842105,418,0.442105263157895
"50","PA","Trafalgar Group",1062,"Likely Voters","Other","2020-06-29","2020-07-02",48,43,0,NA,2020-06-29,2020-07-02,2020-06-30,91,"Likely Voters",1062,510,0.527472527472527,457,0.472527472527473
"51","ME","Public Policy Polling",1022,"Registered Voters","Other","2020-07-02","2020-07-03",53,42,0,NA,2020-07-02,2020-07-03,2020-07-02,95,"Registered Voters",1022,542,0.557894736842105,429,0.442105263157895
"52","FL","Trafalgar Group",1072,"Likely Voters","Other","2020-06-29","2020-07-02",46,46,0,NA,2020-06-29,2020-07-02,2020-06-30,92,"Likely Voters",1072,493,0.5,493,0.5
"53","--","YouGov",1187,"Registered Voters","Other","2020-06-19","2020-07-01",45,40,0,NA,2020-06-19,2020-07-01,2020-06-25,85,"Registered Voters",1187,534,0.529411764705882,475,0.470588235294118
"54","--","Monmouth University",733,"Registered Voters","Live phone component","2020-06-26","2020-06-30",53,41,0,NA,2020-06-26,2020-06-30,2020-06-28,94,"Registered Voters",733,388,0.563829787234043,301,0.436170212765957
"55","TX","YouGov",1200,"Registered Voters","Other","2020-06-19","2020-06-29",44,48,0,NA,2020-06-19,2020-06-29,2020-06-24,92,"Registered Voters",1200,528,0.478260869565217,576,0.521739130434783
"56","TX","Public Policy Polling",729,"Registered Voters","Other","2020-06-24","2020-06-25",48,46,0,NA,2020-06-24,2020-06-25,2020-06-24,94,"Registered Voters",729,350,0.51063829787234,335,0.48936170212766
"57","MT","University of Montana",517,"Registered Voters","Other","2020-06-17","2020-06-26",38,52,0,NA,2020-06-17,2020-06-26,2020-06-21,90,"Registered Voters",517,196,0.422222222222222,269,0.577777777777778
"58","--","Hart Research Associates",1000,"Likely Voters","Other","2020-06-22","2020-06-28",55,41,0,NA,2020-06-22,2020-06-28,2020-06-25,96,"Likely Voters",1000,550,0.572916666666667,410,0.427083333333333
"59","--","Ipsos",943,"Registered Voters","Other","2020-06-29","2020-06-30",46,38,0,NA,2020-06-29,2020-06-30,2020-06-29,84,"Registered Voters",943,434,0.547619047619048,358,0.452380952380952
"60","MI","Public Policy Polling",1237,"Registered Voters","Other","2020-06-26","2020-06-27",50,44,0,NA,2020-06-26,2020-06-27,2020-06-26,94,"Registered Voters",1237,618,0.531914893617021,544,0.468085106382979
"61","--","The Harris Poll",1886,"Registered Voters","Other","2020-06-17","2020-06-18",56,44,0,NA,2020-06-17,2020-06-18,2020-06-17,100,"Registered Voters",1886,1056,0.56,830,0.44
"62","CO","Public Policy Polling",840,"Registered Voters","Other","2020-06-29","2020-06-30",56,39,0,NA,2020-06-29,2020-06-30,2020-06-29,95,"Registered Voters",840,470,0.589473684210526,328,0.410526315789474
"63","--","IBD",1005,"Registered Voters","Other","2020-06-27","2020-06-30",48,40,0,NA,2020-06-27,2020-06-30,2020-06-28,88,"Registered Voters",1005,482,0.545454545454545,402,0.454545454545455
"64","AZ","Data Orbital",600,"Likely Voters","Live phone component","2020-06-27","2020-06-29",47,45,0,NA,2020-06-27,2020-06-29,2020-06-28,92,"Likely Voters",600,282,0.510869565217391,270,0.489130434782609
"65","--","YouGov",1198,"Registered Voters","Other","2020-06-28","2020-06-30",49,40,0,NA,2020-06-28,2020-06-30,2020-06-29,89,"Registered Voters",1198,587,0.550561797752809,479,0.449438202247191
"66","WI","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",51,43,0,NA,2020-06-26,2020-06-28,2020-06-27,94,"Likely Voters",400,204,0.542553191489362,172,0.457446808510638
"67","PA","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",50,44,0,NA,2020-06-26,2020-06-28,2020-06-27,94,"Likely Voters",400,200,0.531914893617021,176,0.468085106382979
"68","NC","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",51,44,0,NA,2020-06-26,2020-06-28,2020-06-27,95,"Likely Voters",400,204,0.536842105263158,176,0.463157894736842
"69","MI","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",48,43,0,NA,2020-06-26,2020-06-28,2020-06-27,91,"Likely Voters",400,192,0.527472527472527,172,0.472527472527473
"70","FL","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",50,45,0,NA,2020-06-26,2020-06-28,2020-06-27,95,"Likely Voters",400,200,0.526315789473684,180,0.473684210526316
"71","AZ","Change Research",400,"Likely Voters","Other","2020-06-26","2020-06-28",51,44,0,NA,2020-06-26,2020-06-28,2020-06-27,95,"Likely Voters",400,204,0.536842105263158,176,0.463157894736842
"72","--","Change Research",1663,"Likely Voters","Other","2020-06-26","2020-06-28",47,40,0,NA,2020-06-26,2020-06-28,2020-06-27,87,"Likely Voters",1663,782,0.540229885057471,665,0.459770114942529
"73","--","Morning Consult",28722,"Registered Voters","Other","2020-06-22","2020-06-28",47,40,0,NA,2020-06-22,2020-06-28,2020-06-25,87,"Registered Voters",28722,13499,0.540229885057471,11489,0.459770114942529
"74","NC","East Carolina University",1149,"Registered Voters","Other","2020-06-22","2020-06-25",45,44,0,NA,2020-06-22,2020-06-25,2020-06-23,89,"Registered Voters",1149,517,0.50561797752809,506,0.49438202247191
"75","--","Suffolk University",1000,"Registered Voters","Live phone component","2020-06-25","2020-06-29",46,37,6,11,2020-06-25,2020-06-29,2020-06-27,83,"Registered Voters",1000,460,0.55421686746988,370,0.44578313253012
"76","--","Suffolk University",1000,"Registered Voters","Live phone component","2020-06-25","2020-06-29",53,41,0,NA,2020-06-25,2020-06-29,2020-06-27,94,"Registered Voters",1000,530,0.563829787234043,410,0.436170212765957
"77","--","Pew Research Center",3577,"Registered Voters","Other","2020-06-16","2020-06-22",54,44,0,2,2020-06-16,2020-06-22,2020-06-19,98,"Registered Voters",3577,1932,0.551020408163265,1574,0.448979591836735
"78","NY","Siena College",806,"Registered Voters","Live phone component","2020-06-23","2020-06-25",57,32,0,NA,2020-06-23,2020-06-25,2020-06-24,89,"Registered Voters",806,459,0.640449438202247,258,0.359550561797753
"79","MO","Garin",800,"Likely Voters","Other","2020-06-16","2020-06-22",48,46,0,NA,2020-06-16,2020-06-22,2020-06-19,94,"Likely Voters",800,384,0.51063829787234,368,0.48936170212766
"80","--","Optimus",1200,"Registered Voters","Other","2020-06-25","2020-06-27",45,41,0,NA,2020-06-25,2020-06-27,2020-06-26,86,"Registered Voters",1200,540,0.523255813953488,492,0.476744186046512
"81","--","Optimus",903,"Likely Voters","Other","2020-06-25","2020-06-27",41,31,0,NA,2020-06-25,2020-06-27,2020-06-26,72,"Likely Voters",903,370,0.569444444444444,280,0.430555555555556
"82","PA","Susquehanna Polling",715,"Likely Voters","Live phone component","2020-06-15","2020-06-23",46,41,0,NA,2020-06-15,2020-06-23,2020-06-19,87,"Likely Voters",715,329,0.528735632183908,293,0.471264367816092
"83","--","RMG Research",1200,"Registered Voters","Other","2020-06-25","2020-06-27",47,39,0,NA,2020-06-25,2020-06-27,2020-06-26,86,"Registered Voters",1200,564,0.546511627906977,468,0.453488372093023
"84","GA","Public Policy Polling",734,"Registered Voters","Other","2020-06-25","2020-06-26",49,45,0,NA,2020-06-25,2020-06-26,2020-06-25,94,"Registered Voters",734,360,0.521276595744681,330,0.478723404255319
"85","WI","Trafalgar Group",1021,"Likely Voters","Other","2020-06-23","2020-06-25",45,46,0,NA,2020-06-23,2020-06-25,2020-06-24,91,"Likely Voters",1021,459,0.494505494505495,470,0.505494505494505
"86","--","Climate Nexus",9087,"Registered Voters","Other","2020-06-06","2020-06-11",48,41,0,NA,2020-06-06,2020-06-11,2020-06-08,89,"Registered Voters",9087,4362,0.539325842696629,3726,0.460674157303371
"87","--","YouGov",1244,"Registered Voters","Other","2020-06-24","2020-06-25",47,39,0,NA,2020-06-24,2020-06-25,2020-06-24,86,"Registered Voters",1244,585,0.546511627906977,485,0.453488372093023
"88","--","Marist College",1515,"Registered Voters","Live phone component","2020-06-22","2020-06-24",52,44,0,NA,2020-06-22,2020-06-24,2020-06-23,96,"Registered Voters",1515,788,0.541666666666667,667,0.458333333333333
"89","--","Kaiser Family Foundation",1094,"Registered Voters","Live phone component","2020-06-08","2020-06-14",51,38,0,NA,2020-06-08,2020-06-14,2020-06-11,89,"Registered Voters",1094,558,0.573033707865168,416,0.426966292134831
"90","TX","FOX",1001,"Registered Voters","Live phone component","2020-06-20","2020-06-23",45,44,0,NA,2020-06-20,2020-06-23,2020-06-21,89,"Registered Voters",1001,450,0.50561797752809,440,0.49438202247191
"91","NC","FOX",1012,"Registered Voters","Live phone component","2020-06-20","2020-06-23",47,45,0,NA,2020-06-20,2020-06-23,2020-06-21,92,"Registered Voters",1012,476,0.510869565217391,455,0.489130434782609
"92","GA","FOX",1012,"Registered Voters","Live phone component","2020-06-20","2020-06-23",47,45,0,NA,2020-06-20,2020-06-23,2020-06-21,92,"Registered Voters",1012,476,0.510869565217391,455,0.489130434782609
"93","FL","FOX",1010,"Registered Voters","Live phone component","2020-06-20","2020-06-23",49,40,0,NA,2020-06-20,2020-06-23,2020-06-21,89,"Registered Voters",1010,495,0.550561797752809,404,0.449438202247191
"94","WI","Redfield",724,"Likely Voters","Other","2020-06-14","2020-06-19",45,36,0,NA,2020-06-14,2020-06-19,2020-06-16,81,"Likely Voters",724,326,0.555555555555556,261,0.444444444444444
"95","NC","Redfield",812,"Likely Voters","Other","2020-06-14","2020-06-17",46,40,0,NA,2020-06-14,2020-06-17,2020-06-15,86,"Likely Voters",812,374,0.534883720930233,325,0.465116279069767
"96","AZ","Redfield",757,"Likely Voters","Other","2020-06-14","2020-06-17",43,39,0,NA,2020-06-14,2020-06-17,2020-06-15,82,"Likely Voters",757,326,0.524390243902439,295,0.475609756097561
"97","MI","Redfield",719,"Likely Voters","Other","2020-06-14","2020-06-16",47,36,0,NA,2020-06-14,2020-06-16,2020-06-15,83,"Likely Voters",719,338,0.566265060240964,259,0.433734939759036
"98","PA","Redfield",985,"Likely Voters","Other","2020-06-14","2020-06-16",49,39,0,NA,2020-06-14,2020-06-16,2020-06-15,88,"Likely Voters",985,483,0.556818181818182,384,0.443181818181818
"99","FL","Redfield",942,"Likely Voters","Other","2020-06-14","2020-06-15",45,41,0,NA,2020-06-14,2020-06-15,2020-06-14,86,"Likely Voters",942,424,0.523255813953488,386,0.476744186046512
"100","MI","Hodas",600,"Likely Voters","Live phone component","2020-06-17","2020-06-20",56,38,0,NA,2020-06-17,2020-06-20,2020-06-18,94,"Likely Voters",600,336,0.595744680851064,228,0.404255319148936
"101","WI","Hodas",600,"Likely Voters","Live phone component","2020-06-12","2020-06-16",55,39,0,NA,2020-06-12,2020-06-16,2020-06-14,94,"Likely Voters",600,330,0.585106382978723,234,0.414893617021277
"102","PA","Hodas",600,"Likely Voters","Live phone component","2020-06-08","2020-06-11",54,42,0,NA,2020-06-08,2020-06-11,2020-06-09,96,"Likely Voters",600,324,0.5625,252,0.4375
"103","--","Hart Research Associates",800,"Registered Voters","Live phone component","2020-06-19","2020-06-22",47,38,0,NA,2020-06-19,2020-06-22,2020-06-20,85,"Registered Voters",800,376,0.552941176470588,304,0.447058823529412
"104","NC","NYT",653,"Registered Voters","Live phone component","2020-06-08","2020-06-18",49,40,0,NA,2020-06-08,2020-06-18,2020-06-13,89,"Registered Voters",653,320,0.550561797752809,261,0.449438202247191
"105","FL","NYT",651,"Registered Voters","Live phone component","2020-06-08","2020-06-18",47,41,0,NA,2020-06-08,2020-06-18,2020-06-13,88,"Registered Voters",651,306,0.534090909090909,267,0.465909090909091
"106","MI","NYT",610,"Registered Voters","Live phone component","2020-06-08","2020-06-17",47,36,0,NA,2020-06-08,2020-06-17,2020-06-12,83,"Registered Voters",610,287,0.566265060240964,220,0.433734939759036
"107","PA","NYT",651,"Registered Voters","Live phone component","2020-06-08","2020-06-16",50,40,0,NA,2020-06-08,2020-06-16,2020-06-12,90,"Registered Voters",651,326,0.555555555555556,260,0.444444444444444
"108","AZ","NYT",650,"Registered Voters","Live phone component","2020-06-08","2020-06-16",48,41,0,NA,2020-06-08,2020-06-16,2020-06-12,89,"Registered Voters",650,312,0.539325842696629,266,0.460674157303371
"109","WI","NYT",655,"Registered Voters","Live phone component","2020-06-08","2020-06-15",49,38,0,NA,2020-06-08,2020-06-15,2020-06-11,87,"Registered Voters",655,321,0.563218390804598,249,0.436781609195402
"110","--","Ipsos",934,"Registered Voters","Other","2020-06-22","2020-06-23",47,37,0,NA,2020-06-22,2020-06-23,2020-06-22,84,"Registered Voters",934,439,0.55952380952381,346,0.44047619047619
"111","NC","Public Policy Polling",1157,"Registered Voters","Other","2020-06-22","2020-06-23",48,46,0,NA,2020-06-22,2020-06-23,2020-06-22,94,"Registered Voters",1157,555,0.51063829787234,532,0.48936170212766
"112","OH","Quinnipiac University",1139,"Registered Voters","Live phone component","2020-06-18","2020-06-22",46,45,0,NA,2020-06-18,2020-06-22,2020-06-20,91,"Registered Voters",1139,524,0.505494505494505,513,0.494505494505495
"113","WI","Marquette University Law School",805,"Registered Voters","Live phone component","2020-06-14","2020-06-18",51,42,2,3,2020-06-14,2020-06-18,2020-06-16,93,"Registered Voters",805,411,0.548387096774194,338,0.451612903225806
"114","--","YouGov",1227,"Registered Voters","Other","2020-06-21","2020-06-23",49,41,5,4,2020-06-21,2020-06-23,2020-06-22,90,"Registered Voters",1227,601,0.544444444444444,503,0.455555555555556
"115","--","Morning Consult",30942,"Registered Voters","Other","2020-06-15","2020-06-21",47,39,0,NA,2020-06-15,2020-06-21,2020-06-18,86,"Registered Voters",30942,14543,0.546511627906977,12067,0.453488372093023
"116","--","Data for Progress",721,"Registered Voters","Other","2020-06-23","2020-06-23",50,44,0,NA,2020-06-23,2020-06-23,2020-06-23,94,"Registered Voters",721,360,0.531914893617021,317,0.468085106382979
"117","--","Data for Progress",811,"Adults","Other","2020-06-23","2020-06-23",52,43,0,NA,2020-06-23,2020-06-23,2020-06-23,95,"Adults",811,422,0.547368421052632,349,0.452631578947368
"118","--","NYT",1337,"Registered Voters","Live phone component","2020-06-17","2020-06-22",50,36,0,14,2020-06-17,2020-06-22,2020-06-19,86,"Registered Voters",1337,668,0.581395348837209,481,0.418604651162791
"119","--","Public Policy Polling",1013,"Registered Voters","Other","2020-06-19","2020-06-20",52,43,0,NA,2020-06-19,2020-06-20,2020-06-19,95,"Registered Voters",1013,527,0.547368421052632,436,0.452631578947368
"120","TX","Public Policy Polling",907,"Registered Voters","Other","2020-06-18","2020-06-19",46,48,0,NA,2020-06-18,2020-06-19,2020-06-18,94,"Registered Voters",907,417,0.48936170212766,435,0.51063829787234
"121","--","Climate Nexus",3168,"Registered Voters","Other","2020-04-03","2020-04-07",47,41,0,NA,2020-04-03,2020-04-07,2020-04-05,88,"Registered Voters",3168,1489,0.534090909090909,1299,0.465909090909091
"122","--","Climate Nexus",3932,"Adults","Other","2020-04-03","2020-04-07",42,37,0,NA,2020-04-03,2020-04-07,2020-04-05,79,"Adults",3932,1651,0.531645569620253,1455,0.468354430379747
"123","--","The Harris Poll",1452,"Likely Voters","Other","2020-06-17","2020-06-18",56,44,0,NA,2020-06-17,2020-06-18,2020-06-17,100,"Likely Voters",1452,813,0.56,639,0.44
"124","--","Echelon Insights",1000,"Likely Voters","Live phone component","2020-06-12","2020-06-16",50,42,0,NA,2020-06-12,2020-06-16,2020-06-14,92,"Likely Voters",1000,500,0.543478260869565,420,0.456521739130435
"125","--","Echelon Insights",1000,"Likely Voters","Live phone component","2020-05-18","2020-05-20",51,42,0,NA,2020-05-18,2020-05-20,2020-05-19,93,"Likely Voters",1000,510,0.548387096774194,420,0.451612903225806
"126","AL","FM3 Research",601,"Likely Voters","Live phone component","2020-05-14","2020-05-18",39,52,0,NA,2020-05-14,2020-05-18,2020-05-16,91,"Likely Voters",601,234,0.428571428571429,313,0.571428571428571
"127","MI","Trafalgar Group",1011,"Likely Voters","Other","2020-06-16","2020-06-18",46,45,4,5,2020-06-16,2020-06-18,2020-06-17,91,"Likely Voters",1011,465,0.505494505494505,455,0.494505494505495
"128","MN","Gravis Marketing",600,"Registered Voters","Other","2020-06-19","2020-06-19",58,42,0,NA,2020-06-19,2020-06-19,2020-06-19,100,"Registered Voters",600,348,0.58,252,0.42
"129","--","SurveyMonkey",5666,"Adults","Other","2020-06-12","2020-06-16",53,43,0,NA,2020-06-12,2020-06-16,2020-06-14,96,"Adults",5666,3003,0.552083333333333,2436,0.447916666666667
"130","--","UCLA Nationscape",10601,"Registered Voters","Other","2020-05-28","2020-06-10",50,39,0,NA,2020-05-28,2020-06-10,2020-06-03,89,"Registered Voters",10601,5300,0.561797752808989,4134,0.438202247191011
"131","NH","Saint Anselm College",1072,"Registered Voters","Live phone component","2020-06-13","2020-06-16",49,42,0,NA,2020-06-13,2020-06-16,2020-06-14,91,"Registered Voters",1072,525,0.538461538461538,450,0.461538461538462
"132","--","FOX",1343,"Registered Voters","Live phone component","2020-06-13","2020-06-16",50,38,0,NA,2020-06-13,2020-06-16,2020-06-14,88,"Registered Voters",1343,672,0.568181818181818,510,0.431818181818182
"133","--","Optimus",686,"Likely Voters","Other","2020-06-09","2020-06-16",50,44,0,NA,2020-06-09,2020-06-16,2020-06-12,94,"Likely Voters",686,343,0.531914893617021,302,0.468085106382979
"134","--","Optimus",783,"Adults","Other","2020-06-09","2020-06-16",42,37,0,NA,2020-06-09,2020-06-16,2020-06-12,79,"Adults",783,329,0.531645569620253,290,0.468354430379747
